title,publisher,year,year_missing,cover,cover_type,price,discount,original_price,savings_tenge,price_bucket,bonus,price_per_bonus,rating,review_count,popularity_score,stock,stock_status,genre,discount_bin,is_old,age_category
Кэрри,Аст,2013,False,твердый переплет,Hardcover,3765,0.0,3765.0,0.0,Mid (3-5k),38,99.08,4.8,112,4.538292305963847,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Система «Спаси-Себя-Сам» для Главного Злодея. Том 3,Эксмо,2024,False,твердый переплет,Hardcover,9509,20.0,11886.0,2377.0,Luxury (8k+),95,100.09,5.0,34,3.5553480614894135,2026-04-27,In stock,Фантастика,Medium (15-30%),False,New
Точка зрения Всеведущего читателя. Том 2,Кислород,2026,False,твердый переплет,Hardcover,4551,30.0,6501.0,1950.0,Mid (3-5k),46,98.93,5.0,5,1.791759469228055,2026-04-27,In stock,Фантастика,Medium (15-30%),False,New
Перси Джексон и море Чудовищ,Эксмо,2022,False,твердый переплет,Hardcover,3919,20.0,4899.0,980.0,Mid (3-5k),39,100.49,5.0,20,3.044522437723423,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Кэрри,Аст,2020,False,мягкая обложка,Paperback,2133,0.0,2133.0,0.0,Economy (1.5-3k),21,101.57,4.7,77,4.095306297088216,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Пять ночей у Фредди. Серебряные глаза,Эксмо,2017,False,твердый переплет,Hardcover,3919,20.0,4899.0,980.0,Mid (3-5k),39,100.49,4.9,76,4.25692931341661,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Хранитель Ардена,Freedom,2023,False,твердый переплет,Hardcover,5116,0.0,5116.0,0.0,Premium (5-8k),51,100.31,5.0,46,3.8501476017100584,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Солярис,Аст,2014,False,мягкая обложка,Paperback,2444,0.0,2444.0,0.0,Economy (1.5-3k),24,101.83,4.9,56,3.9621902424778597,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Тень ветра,Аст,2015,False,мягкая обложка,Paperback,2879,0.0,2879.0,0.0,Economy (1.5-3k),29,99.28,4.9,38,3.590290413207054,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Королевство серебряного пламени. Королевство стужи и звёздного света. Комплект из 2 книг,Азбука,2023,False,твердый переплет,Hardcover,11602,15.0,13649.0,2047.0,Luxury (8k+),116,100.02,5.0,2,1.0986122886681096,2026-04-27,In stock,Фантастика,Low (5-15%),False,Classic/Old
Дюна,Аст,2022,False,мягкая обложка,Paperback,3175,0.0,3175.0,0.0,Mid (3-5k),32,99.22,4.9,79,4.294386101980404,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Первоклассный адвокат. Том 1,Кислород,2025,False,твердый переплет,Hardcover,5046,30.0,7209.0,2163.0,Premium (5-8k),50,100.92,5.0,9,2.302585092994046,2026-04-27,In stock,Фантастика,Medium (15-30%),False,New
Марсианин,Аст,2014,False,твердый переплет,Hardcover,4652,0.0,4652.0,0.0,Mid (3-5k),47,98.98,4.7,65,3.9382754575048398,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Поцелуй Зимы,Черным-бело,2023,False,твердый переплет,Hardcover,797,20.0,996.0,199.0,Budget (<1.5k),8,99.62,,0,,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Разломы,Marshmallow books,2025,False,мягкая обложка,Paperback,4700,20.0,5875.0,1175.0,Mid (3-5k),47,100.0,4.9,25,3.1929346072610527,2026-04-27,In stock,Фантастика,Medium (15-30%),False,New
Ртуть,Аст,2026,False,твердый переплет,Hardcover,7961,0.0,7961.0,0.0,Premium (5-8k),80,99.51,5.0,7,2.0794415416798357,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
Сияние вечного пламени,Кислород,2026,False,твердый переплет,Hardcover,7567,0.0,7567.0,0.0,Premium (5-8k),76,99.57,5.0,3,1.3862943611198906,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
Игры королей. Изгнанник Ардена,Freedom. проза софи анри. миры магии и любви,2025,False,твердый переплет,Hardcover,4870,20.0,6088.0,1218.0,Mid (3-5k),49,99.39,5.0,11,2.4849066497880004,2026-04-27,In stock,Фантастика,Medium (15-30%),False,New
Злой король,Freedom,2019,False,твердый переплет,Hardcover,3290,0.0,3290.0,0.0,Mid (3-5k),33,99.7,4.9,183,5.110637042456807,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Бегущий в Лабиринте,Аст,2021,False,твердый переплет,Hardcover,4060,0.0,4060.0,0.0,Mid (3-5k),41,99.02,5.0,27,3.332204510175204,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Перси Джексон и проклятие титана,Эксмо,2022,False,твердый переплет,Hardcover,3919,20.0,4899.0,980.0,Mid (3-5k),39,100.49,4.9,17,2.8325643227382415,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Крах и восход,Аст,2018,False,твердый переплет,Hardcover,4821,0.0,4821.0,0.0,Mid (3-5k),48,100.44,4.9,67,4.135117551072585,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
1984,Аст,2022,False,твердый переплет,Hardcover,1752,0.0,1752.0,0.0,Economy (1.5-3k),18,97.33,4.9,19,2.935817628082911,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Метро 2034,Аст,2019,False,твердый переплет,Hardcover,9781,0.0,9781.0,0.0,Luxury (8k+),98,99.81,5.0,20,3.044522437723423,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Властелин колец,Аст,2016,False,твердый переплет,Hardcover,16331,0.0,16331.0,0.0,Luxury (8k+),163,100.19,4.9,110,4.615339597286088,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Система «Спаси-Себя-Сам» для Главного Злодея. Том 1,Эксмо,2023,False,твердый переплет,Hardcover,8965,20.0,11206.0,2241.0,Luxury (8k+),90,99.61,5.0,123,4.820281565605037,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Легендо,Freedom,2022,False,твердый переплет,Hardcover,5706,0.0,5706.0,0.0,Premium (5-8k),57,100.11,4.7,29,3.1971255387624264,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,Classic/Old
Последнее желание. Меч предназначения,Аст,2020,False,твердый переплет,Hardcover,4812,25.0,6416.0,1604.0,Mid (3-5k),48,100.25,5.0,33,3.5263605246161616,2026-04-27,In stock,Фантастика,Medium (15-30%),False,Classic/Old
Вавилон. Сокрытая история,Fanzon. fantasy world. большой покет с клапанами,2024,False,мягкая обложка,Paperback,5412,0.0,5412.0,0.0,Premium (5-8k),54,100.22,4.9,11,2.4352085167922404,2026-04-27,In stock,Фантастика,Minimal (0-5%),False,New
