genre,title,price,discount,bonus,cover,year,publisher,rating,reviews,stock
Фантастика,Кэрри,3 765 ₸,No discount,+38,твердый переплет,2013,АСТ,4.8,112 отзывов,На складе
Фантастика,Система «Спаси-Себя-Сам» для Главного Злодея. Том 3,9 509 ₸,-20%,+95,твердый переплет,2024,Эксмо,5.0,34 отзыва,На складе
Фантастика,Точка зрения Всеведущего читателя. Том 2,4 551 ₸,-30%,+46,твердый переплет,2026,Кислород,5.0,5 отзывов,На складе
Фантастика,Перси Джексон и море Чудовищ,3 919 ₸,-20%,+39,твердый переплет,2022,Эксмо,5.0,20 отзывов,На складе
Фантастика,Кэрри,2 133 ₸,No discount,+21,мягкая обложка,2020,АСТ,4.7,77 отзывов,На складе
Фантастика,Пять ночей у Фредди. Серебряные глаза,3 919 ₸,-20%,+39,твердый переплет,2017,Эксмо,4.9,76 отзывов,На складе
Фантастика,Хранитель Ардена,5 116 ₸,No discount,+51,твердый переплет,2023,Freedom,5.0,46 отзывов,На складе
Фантастика,Солярис,2 444 ₸,No discount,+24,мягкая обложка,2014,АСТ,4.9,56 отзывов,На складе
Фантастика,Тень ветра,2 879 ₸,No discount,+29,мягкая обложка,2015,АСТ,4.9,38 отзывов,На складе
Фантастика,Королевство серебряного пламени. Королевство стужи и звёздного света. Комплект из 2 книг,11 602 ₸,-15%,+116,твердый переплет,2023,Азбука,5.0,2 отзыва,На складе
Фантастика,Дюна,3 175 ₸,No discount,+32,мягкая обложка,2022,АСТ,4.9,79 отзывов,На складе
Фантастика,Первоклассный адвокат. Том 1,5 046 ₸,-30%,+50,твердый переплет,2025,Кислород,5.0,9 отзывов,На складе
Фантастика,Марсианин,4 652 ₸,No discount,+47,твердый переплет,2014,АСТ,4.7,65 отзывов,На складе
Фантастика,Поцелуй Зимы,797 ₸,-20%,+8,твердый переплет,2023,Черным-бело,Not rated,0,На складе
Фантастика,Разломы,4 700 ₸,-20%,+47,мягкая обложка,2025,marshmallow books,4.9,25 отзывов,На складе
Фантастика,Ртуть,7 961 ₸,No discount,+80,твердый переплет,2026,АСТ,5.0,7 отзывов,На складе
Фантастика,Сияние вечного пламени,7 567 ₸,No discount,+76,твердый переплет,2026,Кислород,5.0,3 отзыва,На складе
Фантастика,Игры королей. Изгнанник Ардена,4 870 ₸,-20%,+49,твердый переплет,2025,Freedom. Проза Софи Анри. Миры магии и любви,5.0,11 отзывов,На складе
Фантастика,Злой король,3 290 ₸,No discount,+33,твердый переплет,2019,Freedom,4.9,183 отзыва,На складе
Фантастика,Бегущий в Лабиринте,4 060 ₸,No discount,+41,твердый переплет,2021,АСТ,5.0,27 отзывов,На складе
Фантастика,Перси Джексон и проклятие титана,3 919 ₸,-20%,+39,твердый переплет,2022,Эксмо,4.9,17 отзывов,На складе
Фантастика,Крах и восход,4 821 ₸,No discount,+48,твердый переплет,2018,АСТ,4.9,67 отзывов,На складе
Фантастика,1984,1 752 ₸,No discount,+18,твердый переплет,2022,АСТ,4.9,19 отзывов,На складе
Фантастика,Метро 2034,9 781 ₸,No discount,+98,твердый переплет,2019,АСТ,5.0,20 отзывов,На складе
Фантастика,Властелин колец,16 331 ₸,No discount,+163,твердый переплет,2016,АСТ,4.9,110 отзывов,На складе
Фантастика,Система «Спаси-Себя-Сам» для Главного Злодея. Том 1,8 965 ₸,-20%,+90,твердый переплет,2023,Эксмо,5.0,123 отзыва,На складе
Фантастика,Легендо,5 706 ₸,No discount,+57,твердый переплет,2022,Freedom,4.7,29 отзывов,На складе
Фантастика,Последнее желание. Меч предназначения,4 812 ₸,-25%,+48,твердый переплет,2020,АСТ,5.0,33 отзыва,На складе
Фантастика,Вавилон. Сокрытая история,5 412 ₸,No discount,+54,мягкая обложка,2024,Fanzon. Fantasy World. Большой покет с клапанами,4.9,11 отзывов,На складе
Фантастика,Во главе обмана,4 386 ₸,-20%,+44,твердый переплет,2026,Эксмо,Not rated,0,На складе
Фантастика,Морана и Тень. Плетущая,4 525 ₸,No discount,+45,твердый переплет,2025,Черным-бело,5.0,50 отзывов,На складе
Фантастика,Куджо,3 933 ₸,No discount,+39,твердый переплет,2025,АСТ,4.6,19 отзывов,На складе
Фантастика,Мессия Дюны. Дети Дюны,10 375 ₸,No discount,+104,твердый переплет,2024,АСТ,5.0,6 отзывов,На складе
Фантастика,Перси Джексон и похититель молний,3 919 ₸,-20%,+39,твердый переплет,2022,Эксмо,5.0,15 отзывов,На складе
Фантастика,Песнь Кали,2 189 ₸,No discount,+22,мягкая обложка,2025,АСТ,5.0,11 отзывов,На складе
Фантастика,Баллада о змеях и певчих птицах,4 948 ₸,No discount,+49,твердый переплет,2020,АСТ,4.9,62 отзыва,На складе
Фантастика,Король в жёлтом,1 816 ₸,No discount,+18,мягкая обложка,2024,АСТ,4.6,8 отзывов,На складе
Фантастика,Демон из Пустоши. Колдун Российской империи,4 186 ₸,-20%,+42,твердый переплет,2024,Эксмо,5.0,29 отзывов,На складе
Фантастика,Принц Ардена,4 603 ₸,-20%,+46,твердый переплет,2023,Freedom,4.8,68 отзывов,На складе
Фантастика,Таймлесс. Сапфировая книга,3 022 ₸,-20%,+30,твердый переплет,2021,робинс,4.8,44 отзыва,На складе
Фантастика,Дюна,9 781 ₸,No discount,+98,твердый переплет,2023,АСТ,5.0,62 отзыва,На складе
Фантастика,Сага о Видящих. Книги 1 и 2. Королевский убийца,9 014 ₸,-25%,+90,твердый переплет,2017,Азбука,4.9,23 отзыва,На складе
Фантастика,Таймлесс. Изумрудная книга,3 524 ₸,-20%,+35,твердый переплет,2020,робинс,4.9,42 отзыва,На складе
Фантастика,Мобильник,4 356 ₸,No discount,+44,твердый переплет,2018,Астрель,4.9,7 отзывов,На складе
Фантастика,Худеющий,2 301 ₸,No discount,+23,мягкая обложка,2022,АСТ,4.6,30 отзывов,На складе
Фантастика,Хозяйка Дьявола,5 012 ₸,-20%,+50,твердый переплет,2025,Clever,5.0,6 отзывов,На складе
Фантастика,Мирабель. Как трудно быть послушным!,3 806 ₸,-20%,+38,твердый переплет,2022,Эксмо,5.0,2 отзыва,На складе
Фантастика,Голодные игры. И вспыхнет пламя. Сойка-пересмешница,10 375 ₸,No discount,+104,твердый переплет,2015,АСТ,4.9,133 отзыва,На складе
Фантастика,"Франкенштейн, или Современный Прометей",1 887 ₸,No discount,+19,мягкая обложка,2015,АСТ,4.6,48 отзывов,На складе
Фантастика,Искра вечного пламени,6 491 ₸,No discount,+65,твердый переплет,2025,Кислород,5.0,4 отзыва,На складе
